p sp 100 7698
a 95 3 499
a 3 96 525
a 96 3 525
a 3 97 211
a 97 3 211
a 3 98 444
a 98 3 444
a 3 99 827
a 99 3 827
a 3 100 760
a 100 3 760
a 4 6 992
a 6 4 992
a 4 7 721
a 7 4 721
a 4 8 693
a 8 4 693
a 4 9 541
a 9 4 541
a 4 10 497
a 10 4 497
a 4 11 761
a 11 4 761
a 4 12 444
a 12 4 444
a 4 13 965
a 13 4 965
a 4 14 848
a 14 4 848
a 4 16 951
a 16 4 951
a 4 17 961
a 17 4 961
a 4 20 283
a 20 4 283
a 4 23 574
a 23 4 574
a 4 25 841
a 25 4 841
a 4 26 968
a 26 4 968
a 4 27 439
a 27 4 439
a 4 28 440
a 28 4 440
a 4 29 583
a 29 4 583
a 4 30 928
a 30 4 928
a 4 31 706
a 31 4 706
a 4 32 765
a 32 4 765
a 4 33 706
a 33 4 706
a 4 35 207
a 35 4 207
a 4 36 644
a 36 4 644
a 4 37 317
a 37 4 317
a 4 38 138
a 38 4 138
a 4 43 244
a 43 4 244
a 4 44 490
a 44 4 490
a 4 45 362
a 45 4 362
a 4 46 250
a 46 4 250
a 4 47 148
a 47 4 148
a 4 48 767
a 48 4 767
a 4 49 173
a 49 4 173
a 4 51 326
a 51 4 326
a 4 53 126
a 53 4 126
a 4 54 576
a 54 4 576
a 4 55 770
a 55 4 770
a 4 56 270
a 56 4 270
a 4 58 417
a 58 4 417
a 4 60 528
a 60 4 528
a 4 61 930
a 61 4 930
a 4 63 570
a 63 4 570
a 4 65 385
a 65 4 385
a 4 66 178
a 66 4 178
a 4 67 488
a 67 4 488
a 4 70 424
a 70 4 424
a 4 71 775
a 71 4 775
a 4 74 454
a 74 4 454
a 4 76 589
a 76 4 589
a 4 77 561
a 77 4 561
a 4 78 606
a 78 4 606
a 4 79 322
a 79 4 322
a 4 80 466
a 80 4 466
a 4 81 992
a 81 4 992
a 4 82 663
a 82 4 663
a 4 83 326
a 83 4 326
a 4 84 451
a 84 4 451
a 4 85 486
a 85 4 486
a 4 86 304
a 86 4 304
a 4 87 404
a 87 4 404
a 4 88 505
a 88 4 505
a 4 89 381
a 89 4 381
a 4 90 833
a 90 4 833
a 4 91 301
a 91 4 301
a 4 93 405
a 93 4 405
a 4 94 748
a 94 4 748
a 4 95 296
a 95 4 296
a 4 96 988
a 96 4 988
a 4 97 334
a 97 4 334
a 4 98 349
a 98 4 349
a 4 99 645
a 99 4 645
a 4 100 281
a 100 4 281
a 5 6 641
a 6 5 641
a 5 9 365
a 9 5 365
a 5 10 752
a 10 5 752
a 5 11 969
a 11 5 969
a 5 16 340
a 16 5 340
a 5 21 775
a 21 5 775
a 5 23 481
a 23 5 481
a 5 25 861
a 25 5 861
a 5 27 322
a 27 5 322
a 5 28 984
a 28 5 984
a 5 29 774
a 29 5 774
a 5 30 824
a 30 5 824
a 5 32 878
a 32 5 878
a 5 34 741
a 34 5 741
a 5 36 666
a 36 5 666
a 5 37 499
a 37 5 499
a 5 41 562
a 41 5 562
a 5 42 790
a 42 5 790
a 5 43 755
a 43 5 755
a 5 44 275
a 44 5 275
a 5 45 370
a 45 5 370
a 5 46 290
a 46 5 290
a 5 47 671
a 47 5 671
a 5 48 839
a 48 5 839
a 5 49 678
a 49 5 678
a 5 50 223
a 50 5 223
a 5 53 602
a 53 5 602
a 5 54 611
a 54 5 611
a 5 56 210
a 56 5 210
a 5 57 546
a 57 5 546
a 5 59 559
a 59 5 559
a 5 61 137
a 61 5 137
a 5 62 439
a 62 5 439
a 5 63 412
a 63 5 412
a 5 64 703
a 64 5 703
a 5 65 926
a 65 5 926
a 5 67 271
a 67 5 271
a 5 69 210
a 69 5 210
a 5 70 703
a 70 5 703
a 5 71 350
a 71 5 350
a 5 73 324
a 73 5 324
a 5 74 714
a 74 5 714
a 5 75 458
a 75 5 458
a 5 76 233
a 76 5 233
a 5 77 428
a 77 5 428
a 5 78 443
a 78 5 443
a 5 79 183
a 79 5 183
a 5 82 803
a 82 5 803
a 5 83 963
a 83 5 963
a 5 84 843
a 84 5 843
a 5 85 839
a 85 5 839
a 5 87 825
a 87 5 825
a 5 88 587
a 88 5 587
a 5 89 201
a 89 5 201
a 5 91 600
a 91 5 600
a 5 92 681
a 92 5 681
a 5 93 349
a 93 5 349
a 5 94 404
a 94 5 404
a 5 95 219
a 95 5 219
a 5 96 506
a 96 5 506
a 5 97 498
a 97 5 498
a 5 99 456
a 99 5 456
a 5 100 675
a 100 5 675
a 6 7 929
a 7 6 929
a 6 8 708
a 8 6 708
a 6 9 191
a 9 6 191
a 6 10 738
a 10 6 738
a 6 11 725
a 11 6 725
a 6 12 350
a 12 6 350
a 6 14 360
a 14 6 360
a 6 16 539
a 16 6 539
a 6 17 355
a 17 6 355
a 6 18 357
a 18 6 357
a 6 19 497
a 19 6 497
a 6 20 453
a 20 6 453
a 6 21 356
a 21 6 356
a 6 22 503
a 22 6 503
a 6 23 315
a 23 6 315
a 6 26 512
a 26 6 512
a 6 29 885
a 29 6 885
a 6 31 208
a 31 6 208
a 6 33 968
a 33 6 968
a 6 35 344
a 35 6 344
a 6 37 164
a 37 6 164
a 6 38 425
a 38 6 425
a 6 39 731
a 39 6 731
a 6 40 813
a 40 6 813
a 6 41 403
a 41 6 403
a 6 42 556
a 42 6 556
a 6 43 453
a 43 6 453
a 6 44 754
a 44 6 754
a 6 46 659
a 46 6 659
a 6 48 542
a 48 6 542
a 6 50 560
a 50 6 560
a 6 51 515
a 51 6 515
a 6 52 663
a 52 6 663
a 6 54 506
a 54 6 506
a 6 56 594
a 56 6 594
a 6 57 115
a 57 6 115
a 6 58 808
a 58 6 808
a 6 59 483
a 59 6 483
a 6 60 675
a 60 6 675
a 6 61 862
a 61 6 862
a 6 62 179
a 62 6 179
a 6 63 136
a 63 6 136
a 6 65 669
a 65 6 669
a 6 66 245
a 66 6 245
a 6 67 112
a 67 6 112
a 6 68 778
a 68 6 778
a 6 69 994
a 69 6 994
a 6 71 235
a 71 6 235
a 6 73 679
a 73 6 679
a 6 74 286
a 74 6 286
a 6 75 846
a 75 6 846
a 6 76 783
a 76 6 783
a 6 77 420
a 77 6 420
a 6 79 994
a 79 6 994
a 6 80 696
a 80 6 696
a 6 81 467
a 81 6 467
a 6 83 455
a 83 6 455
a 6 84 888
a 84 6 888
a 6 85 197
a 85 6 197
a 6 86 764
a 86 6 764
a 6 87 668
a 87 6 668
a 6 88 473
a 88 6 473
a 6 89 544
a 89 6 544
a 6 90 216
a 90 6 216
a 6 91 357
a 91 6 357
a 6 92 779
a 92 6 779
a 6 93 516
a 93 6 516
a 6 94 543
a 94 6 543
a 6 95 765
a 95 6 765
a 6 96 108
a 96 6 108
a 6 97 652
a 97 6 652
a 6 98 165
a 98 6 165
a 6 99 676
a 99 6 676
a 6 100 399
a 100 6 399
a 7 10 405
a 10 7 405
a 7 14 307
a 14 7 307
a 7 17 498
a 17 7 498
a 7 18 431
a 18 7 431
a 7 19 665
a 19 7 665
a 7 20 631
a 20 7 631
a 7 22 220
a 22 7 220
a 7 24 980
a 24 7 980
a 7 25 917
a 25 7 917
a 7 26 565
a 26 7 565
a 7 30 355
a 30 7 355
a 7 31 498
a 31 7 498
a 7 32 272
a 32 7 272
a 7 33 810
a 33 7 810
a 7 34 153
a 34 7 153
a 7 35 164
a 35 7 164
a 7 36 801
a 36 7 801
a 7 37 163
a 37 7 163
a 7 39 858
a 39 7 858
a 7 42 119
a 42 7 119
a 7 44 702
a 44 7 702
a 7 45 228
a 45 7 228
a 7 47 728
a 47 7 728
a 7 48 289
a 48 7 289
a 7 49 596
a 49 7 596
a 7 51 911
a 51 7 911
a 7 52 644
a 52 7 644
a 7 53 137
a 53 7 137
a 7 54 813
a 54 7 813
a 7 55 200
a 55 7 200
a 7 57 609
a 57 7 609
a 7 58 409
a 58 7 409
a 7 59 824
a 59 7 824
a 7 60 533
a 60 7 533
a 7 61 572
a 61 7 572
a 7 62 699
a 62 7 699
a 7 63 618
a 63 7 618
a 7 65 876
a 65 7 876
a 7 66 538
a 66 7 538
a 7 67 498
a 67 7 498
a 7 68 269
a 68 7 269
a 7 69 354
a 69 7 354
a 7 70 574
a 70 7 574
a 7 71 707
a 71 7 707
a 7 73 681
a 73 7 681
a 7 74 482
a 74 7 482
a 7 76 390
a 76 7 390
a 7 77 101
a 77 7 101
a 7 78 703
a 78 7 703
a 7 79 719
a 79 7 719
a 7 80 159
a 80 7 159
a 7 81 822
a 81 7 822
a 7 82 846
a 82 7 846
a 7 84 500
a 84 7 500
a 7 85 208
a 85 7 208
a 7 86 694
a 86 7 694
a 7 87 635
a 87 7 635
a 7 88 761
a 88 7 761
a 7 89 271
a 89 7 271
a 7 90 657
a 90 7 657
a 7 91 463
a 91 7 463
a 7 92 945
a 92 7 945
a 7 93 726
a 93 7 726
a 7 94 759
a 94 7 759
a 7 95 296
a 95 7 296
a 7 96 290
a 96 7 290
a 7 97 826
a 97 7 826
a 7 98 687
a 98 7 687
a 7 99 260
a 99 7 260
a 7 100 733
a 100 7 733
a 8 9 815
a 9 8 815
a 8 10 861
a 10 8 861
a 8 11 934
a 11 8 934
a 8 13 200
a 13 8 200
a 8 15 416
a 15 8 416
a 8 16 718
a 16 8 718
a 8 17 229
a 17 8 229
a 8 19 528
a 19 8 528
a 8 23 179
a 23 8 179
a 8 24 209
a 24 8 209
a 8 25 198
a 25 8 198
a 8 26 778
a 26 8 778
a 8 27 445
a 27 8 445
a 8 31 907
a 31 8 907
a 8 32 862
a 32 8 862
a 8 33 174
a 33 8 174
a 8 36 671
a 36 8 671
a 8 37 428
a 37 8 428
a 8 38 953
a 38 8 953
a 8 39 726
a 39 8 726
a 8 42 357
a 42 8 357
a 8 43 222
a 43 8 222
a 8 44 905
a 44 8 905
a 8 45 536
a 45 8 536
a 8 47 196
a 47 8 196
a 8 48 683
a 48 8 683
a 8 50 803
a 50 8 803
a 8 51 828
a 51 8 828
a 8 54 937
a 54 8 937
a 8 55 811
a 55 8 811
a 8 57 460
a 57 8 460
a 8 58 607
a 58 8 607
a 8 59 981
a 59 8 981
a 8 60 562
a 60 8 562
a 8 61 428
a 61 8 428
a 8 63 777
a 63 8 777
a 8 64 463
a 64 8 463
a 8 65 971
a 65 8 971
a 8 66 387
a 66 8 387
a 8 67 759
a 67 8 759
a 8 68 436
a 68 8 436
a 8 70 865
a 70 8 865
a 8 71 760
a 71 8 760
a 8 72 393
a 72 8 393
a 8 73 719
a 73 8 719
a 8 74 588
a 74 8 588
a 8 75 717
a 75 8 717
a 8 76 757
a 76 8 757
a 8 77 205
a 77 8 205
a 8 78 411
a 78 8 411
a 8 79 710
a 79 8 710
a 8 82 295
a 82 8 295
a 8 83 125
a 83 8 125
a 8 84 529
a 84 8 529
a 8 85 675
a 85 8 675
a 8 88 563
a 88 8 563
a 8 89 649
a 89 8 649
a 8 90 337
a 90 8 337
a 8 92 119
a 92 8 119
a 8 93 604
a 93 8 604
a 8 94 932
a 94 8 932
a 8 95 201
a 95 8 201
a 8 96 362
a 96 8 362
a 8 97 190
a 97 8 190
a 8 98 329
a 98 8 329
a 8 99 422
a 99 8 422
a 8 100 771
a 100 8 771
a 9 11 333
a 11 9 333
a 9 13 521
a 13 9 521
a 9 15 628
a 15 9 628
a 9 16 869
a 16 9 869
a 9 17 125
a 17 9 125
a 9 22 959
a 22 9 959
a 9 24 449
a 24 9 449
a 9 25 570
a 25 9 570
a 9 26 874
a 26 9 874
a 9 27 918
a 27 9 918
a 9 29 114
a 29 9 114
a 9 30 146
a 30 9 146
a 9 32 943
a 32 9 943
a 9 33 518
a 33 9 518
a 9 35 448
a 35 9 448
a 9 36 708
a 36 9 708
a 9 37 669
a 37 9 669
a 9 38 636
a 38 9 636
a 9 39 443
a 39 9 443
a 9 40 185
a 40 9 185
a 9 41 649
a 41 9 649
a 9 43 729
a 43 9 729
a 9 46 834
a 46 9 834
a 9 48 126
a 48 9 126
a 9 49 365
a 49 9 365
a 9 50 786
a 50 9 786
a 9 51 841
a 51 9 841
a 9 52 679
a 52 9 679
a 9 56 997
a 56 9 997
a 9 57 306
a 57 9 306
a 9 60 873
a 60 9 873
a 9 61 283
a 61 9 283
a 9 62 949
a 62 9 949
a 9 64 641
a 64 9 641
a 9 65 630
a 65 9 630
a 9 66 604
a 66 9 604
a 9 67 842
a 67 9 842
a 9 68 155
a 68 9 155
a 9 70 864
a 70 9 864
a 9 74 518
a 74 9 518
a 9 75 784
a 75 9 784
a 9 77 852
a 77 9 852
a 9 78 223
a 78 9 223
a 9 79 547
a 79 9 547
a 9 80 703
a 80 9 703
a 9 81 229
a 81 9 229
a 9 82 106
a 82 9 106
a 9 83 526
a 83 9 526
a 9 84 688
a 84 9 688
a 9 85 541
a 85 9 541
a 9 86 773
a 86 9 773
a 9 87 364
a 87 9 364
a 9 90 123
a 90 9 123
a 9 91 245
a 91 9 245
a 9 92 765
a 92 9 765
a 9 96 440
a 96 9 440
a 9 98 963
a 98 9 963
a 9 99 558
a 99 9 558
a 9 100 285
a 100 9 285
a 10 11 268
a 11 10 268
a 10 12 139
a 12 10 139
a 10 13 704
a 13 10 704
a 10 14 423
a 14 10 423
a 10 16 808
a 16 10 808
a 10 17 834
a 17 10 834
a 10 19 840
a 19 10 840
a 10 22 878
a 22 10 878
a 10 24 237
a 24 10 237
a 10 25 393
a 25 10 393
a 10 26 299
a 26 10 299
a 10 28 140
a 28 10 140
a 10 29 703
a 29 10 703
a 10 30 867
a 30 10 867
a 10 31 645
a 31 10 645
a 10 33 946
a 33 10 946
a 10 36 682
a 36 10 682
a 10 37 817
a 37 10 817
a 10 38 197
a 38 10 197
a 10 39 695
a 39 10 695
a 10 40 658
a 40 10 658
a 10 41 296
a 41 10 296
a 10 43 902
a 43 10 902
a 10 44 973
a 44 10 973
a 10 45 497
a 45 10 497
a 10 46 422
a 46 10 422
a 10 47 573
a 47 10 573
a 10 49 439
a 49 10 439
a 10 51 337
a 51 10 337
a 10 52 822
a 52 10 822
a 10 53 191
a 53 10 191
a 10 55 349
a 55 10 349
a 10 58 964
a 58 10 964
a 10 59 264
a 59 10 264
a 10 60 786
a 60 10 786
a 10 61 758
a 61 10 758
a 10 62 507
a 62 10 507
a 10 63 676
a 63 10 676
a 10 64 312
a 64 10 312
a 10 67 804
a 67 10 804
a 10 68 257
a 68 10 257
a 10 69 612
a 69 10 612
a 10 71 200
a 71 10 200
a 10 72 414
a 72 10 414
a 10 73 987
a 73 10 987
a 10 74 687
a 74 10 687
a 10 75 886
a 75 10 886
a 10 76 169
a 76 10 169
a 10 77 178
a 77 10 178
a 10 78 176
a 78 10 176
a 10 80 943
a 80 10 943
a 10 81 914
a 81 10 914
a 10 83 847
a 83 10 847
a 10 84 799
a 84 10 799
a 10 85 154
a 85 10 154
a 10 86 732
a 86 10 732
a 10 87 808
a 87 10 808
a 10 89 446
a 89 10 446
a 10 90 292
a 90 10 292
a 10 91 472
a 91 10 472
a 10 92 871
a 92 10 871
a 10 93 904
a 93 10 904
a 10 94 126
a 94 10 126
a 10 95 529
a 95 10 529
a 10 96 509
a 96 10 509
a 10 97 566
a 97 10 566
a 10 98 610
a 98 10 610
a 10 99 945
a 99 10 945
a 10 100 182
a 100 10 182
a 11 13 741
a 13 11 741
a 11 14 302
a 14 11 302
a 11 17 516
a 17 11 516
a 11 18 250
a 18 11 250
a 11 21 973
a 21 11 973
a 11 22 279
a 22 11 279
a 11 23 345
a 23 11 345
a 11 24 850
a 24 11 850
a 11 25 518
a 25 11 518
a 11 26 123
a 26 11 123
a 11 27 618
a 27 11 618
a 11 28 987
a 28 11 987
a 11 30 899
a 30 11 899
a 11 33 838
a 33 11 838
a 11 34 593
a 34 11 593
a 11 36 721
a 36 11 721
a 11 38 253
a 38 11 253
a 11 39 241
a 39 11 241
a 11 40 101
a 40 11 101
a 11 41 580
a 41 11 580
a 11 42 480
a 42 11 480
a 11 44 413
a 44 11 413
a 11 45 593
a 45 11 593
a 11 46 355
a 46 11 355
a 11 48 197
a 48 11 197
a 11 51 863
a 51 11 863
a 11 52 565
a 52 11 565
a 11 53 638
a 53 11 638
a 11 55 334
a 55 11 334
a 11 56 444
a 56 11 444
a 11 57 873
a 57 11 873
a 11 59 909
a 59 11 909
a 11 61 154
a 61 11 154
a 11 62 462
a 62 11 462
a 11 63 217
a 63 11 217
a 11 64 941
a 64 11 941
a 11 65 174
a 65 11 174
a 11 66 330
a 66 11 330
a 11 67 242
a 67 11 242
a 11 68 457
a 68 11 457
a 11 69 295
a 69 11 295
a 11 70 220
a 70 11 220
a 11 71 436
a 71 11 436
a 11 72 161
a 72 11 161
a 11 73 247
a 73 11 247
a 11 74 318
a 74 11 318
a 11 75 678
a 75 11 678
a 11 76 589
a 76 11 589
a 11 77 778
a 77 11 778
a 11 79 947
a 79 11 947
a 11 81 484
a 81 11 484
a 11 82 450
a 82 11 450
a 11 83 621
a 83 11 621
a 11 84 264
a 84 11 264
a 11 86 494
a 86 11 494
a 11 87 389
a 87 11 389
a 11 88 940
a 88 11 940
a 11 89 720
a 89 11 720
a 11 91 211
a 91 11 211
a 11 92 335
a 92 11 335
a 11 93 663
a 93 11 663
a 11 96 318
a 96 11 318
a 11 97 758
a 97 11 758
a 11 98 907
a 98 11 907
a 11 99 602
a 99 11 602
a 11 100 500
a 100 11 500
a 12 13 231
a 13 12 231
a 12 14 877
a 14 12 877
a 12 15 213
a 15 12 213
a 12 20 546
a 20 12 546
a 12 21 959
a 21 12 959
a 12 22 203
a 22 12 203
a 12 25 343
a 25 12 343
a 12 26 880
a 26 12 880
a 12 29 763
a 29 12 763
a 12 30 107
a 30 12 107
a 12 32 491
a 32 12 491
a 12 34 800
a 34 12 800
a 12 35 259
a 35 12 259
a 12 36 691
a 36 12 691
a 12 37 480
a 37 12 480
a 12 38 730
a 38 12 730
a 12 39 859
a 39 12 859
a 12 41 406
a 41 12 406
a 12 42 167
a 42 12 167
a 12 44 542
a 44 12 542
a 12 45 453
a 45 12 453
a 12 46 192
a 46 12 192
a 12 47 923
a 47 12 923
a 12 48 503
a 48 12 503
a 12 49 105
a 49 12 105
a 12 50 960
a 50 12 960
a 12 51 344
a 51 12 344
a 12 52 273
a 52 12 273
a 12 53 576
a 53 12 576
a 12 54 333
a 54 12 333
a 12 55 442
a 55 12 442
a 12 57 849
a 57 12 849
a 12 58 545
a 58 12 545
a 12 59 138
a 59 12 138
a 12 60 701
a 60 12 701
a 12 62 345
a 62 12 345
a 12 63 269
a 63 12 269
a 12 64 763
a 64 12 763
a 12 66 319
a 66 12 319
a 12 67 774
a 67 12 774
a 12 69 756
a 69 12 756
a 12 71 496
a 71 12 496
a 12 73 399
a 73 12 399
a 12 74 750
a 74 12 750
a 12 75 567
a 75 12 567
a 12 76 825
a 76 12 825
a 12 77 704
a 77 12 704
a 12 79 366
a 79 12 366
a 12 80 521
a 80 12 521
a 12 81 746
a 81 12 746
a 12 82 931
a 82 12 931
a 12 83 888
a 83 12 888
a 12 84 549
a 84 12 549
a 12 85 446
a 85 12 446
a 12 87 966
a 87 12 966
a 12 88 294
a 88 12 294
a 12 89 829
a 89 12 829
a 12 90 962
a 90 12 962
a 12 91 220
a 91 12 220
a 12 92 492
a 92 12 492
a 12 93 501
a 93 12 501
a 12 94 212
a 94 12 212
a 12 95 485
a 95 12 485
a 12 96 991
a 96 12 991
a 12 97 892
a 97 12 892
a 12 98 523
a 98 12 523
a 12 99 292
a 99 12 292
a 12 100 499
a 100 12 499
a 13 14 966
a 14 13 966
a 13 15 728
a 15 13 728
a 13 16 130
a 16 13 130
a 13 17 146
a 17 13 146
a 13 18 642
a 18 13 642
a 13 20 445
a 20 13 445
a 13 21 742
a 21 13 742
a 13 22 872
a 22 13 872
a 13 24 187
a 24 13 187
a 13 26 417
a 26 13 417
a 13 29 608
a 29 13 608
a 13 30 187
a 30 13 187
a 13 31 893
a 31 13 893
a 13 32 830
a 32 13 830
a 13 33 976
a 33 13 976
a 13 39 339
a 39 13 339
a 13 43 186
a 43 13 186
a 13 44 308
a 44 13 308
a 13 45 282
a 45 13 282
a 13 46 597
a 46 13 597
a 13 47 103
a 47 13 103
a 13 48 130
a 48 13 130
a 13 49 624
a 49 13 624
a 13 50 133
a 50 13 133
a 13 52 675
a 52 13 675
a 13 53 391
a 53 13 391
a 13 54 635
a 54 13 635
a 13 55 473
a 55 13 473
a 13 56 238
a 56 13 238
a 13 58 155
a 58 13 155
a 13 60 775
a 60 13 775
a 13 62 488
a 62 13 488
a 13 63 793
a 63 13 793
a 13 64 844
a 64 13 844
a 13 65 360
a 65 13 360
a 13 66 242
a 66 13 242
a 13 67 864
a 67 13 864
a 13 69 550
a 69 13 550
a 13 70 730
a 70 13 730
a 13 71 964
