p sp 100 1100
a 25 40 171
a 40 25 171
a 25 46 937
a 46 25 937
a 25 65 283
a 65 25 283
a 25 81 311
a 81 25 311
a 25 98 193
a 98 25 193
a 26 30 312
a 30 26 312
a 26 32 463
a 32 26 463
a 26 39 818
a 39 26 818
a 26 55 752
a 55 26 752
a 26 56 849
a 56 26 849
a 26 63 181
a 63 26 181
a 26 66 645
a 66 26 645
a 26 92 185
a 92 26 185
a 26 97 288
a 97 26 288
a 27 47 328
a 47 27 328
a 27 53 321
a 53 27 321
a 27 60 804
a 60 27 804
a 27 61 968
a 61 27 968
a 27 62 461
a 62 27 461
a 27 67 468
a 67 27 468
a 27 72 319
a 72 27 319
a 27 82 566
a 82 27 566
a 28 29 853
a 29 28 853
a 28 34 805
a 34 28 805
a 28 39 765
a 39 28 765
a 28 42 815
a 42 28 815
a 28 50 727
a 50 28 727
a 28 53 767
a 53 28 767
a 28 61 313
a 61 28 313
a 28 70 971
a 70 28 971
a 28 82 183
a 82 28 183
a 28 83 977
a 83 28 977
a 29 35 595
a 35 29 595
a 29 42 907
a 42 29 907
a 29 45 459
a 45 29 459
a 29 46 835
a 46 29 835
a 29 49 653
a 49 29 653
a 29 60 889
a 60 29 889
a 29 84 264
a 84 29 264
a 29 87 521
a 87 29 521
a 30 46 566
a 46 30 566
a 30 54 599
a 54 30 599
a 30 62 439
a 62 30 439
a 30 65 788
a 65 30 788
a 30 69 503
a 69 30 503
a 30 77 243
a 77 30 243
a 30 97 153
a 97 30 153
a 31 41 601
a 41 31 601
a 31 43 788
a 43 31 788
a 31 99 483
a 99 31 483
a 32 54 425
a 54 32 425
a 32 56 779
a 56 32 779
a 32 86 100
a 86 32 100
a 32 87 875
a 87 32 875
a 32 92 489
a 92 32 489
a 33 43 134
a 43 33 134
a 33 48 655
a 48 33 655
a 33 52 387
a 52 33 387
a 33 54 891
a 54 33 891
a 33 57 673
a 57 33 673
a 33 70 899
a 70 33 899
a 33 76 605
a 76 33 605
a 33 83 305
a 83 33 305
a 33 84 682
a 84 33 682
a 34 45 327
a 45 34 327
a 34 48 324
a 48 34 324
a 34 56 341
a 56 34 341
a 34 60 332
a 60 34 332
a 34 69 946
a 69 34 946
a 34 76 579
a 76 34 579
a 34 83 673
a 83 34 673
a 34 98 333
a 98 34 333
a 35 51 490
a 51 35 490
a 35 54 668
a 54 35 668
a 35 55 641
a 55 35 641
a 35 59 219
a 59 35 219
a 35 60 476
a 60 35 476
a 35 72 769
a 72 35 769
a 35 74 159
a 74 35 159
a 35 99 869
a 99 35 869
a 36 40 668
a 40 36 668
a 36 59 350
a 59 36 350
a 36 65 111
a 65 36 111
a 36 67 731
a 67 36 731
a 36 72 970
a 72 36 970
a 36 76 401
a 76 36 401
a 36 87 512
a 87 36 512
a 36 89 601
a 89 36 601
a 36 95 988
a 95 36 988
a 36 99 569
a 99 36 569
a 37 58 986
a 58 37 986
a 37 70 493
a 70 37 493
a 37 82 496
a 82 37 496
a 37 88 510
a 88 37 510
a 37 90 108
a 90 37 108
a 37 96 247
a 96 37 247
a 37 97 924
a 97 37 924
a 37 99 834
a 99 37 834
a 38 46 440
a 46 38 440
a 38 53 612
a 53 38 612
a 38 59 712
a 59 38 712
a 38 70 697
a 70 38 697
a 38 76 413
a 76 38 413
a 38 89 610
a 89 38 610
a 39 68 439
a 68 39 439
a 39 79 875
a 79 39 875
a 40 44 513
a 44 40 513
a 40 50 990
a 50 40 990
a 40 54 624
a 54 40 624
a 40 61 480
a 61 40 480
a 40 63 865
a 63 40 865
a 40 71 387
a 71 40 387
a 40 75 589
a 75 40 589
a 40 81 614
a 81 40 614
a 40 82 758
a 82 40 758
a 40 90 932
a 90 40 932
a 40 91 487
a 91 40 487
a 41 52 548
a 52 41 548
a 41 55 626
a 55 41 626
a 41 58 492
a 58 41 492
a 41 66 480
a 66 41 480
a 41 78 226
a 78 41 226
a 41 91 884
a 91 41 884
a 42 56 409
a 56 42 409
a 42 63 492
a 63 42 492
a 42 84 640
a 84 42 640
a 43 55 384
a 55 43 384
a 43 74 931
a 74 43 931
a 43 77 926
a 77 43 926
a 43 80 995
a 80 43 995
a 43 86 236
a 86 43 236
a 44 65 714
a 65 44 714
a 44 66 454
a 66 44 454
a 44 90 771
a 90 44 771
a 44 95 121
a 95 44 121
a 45 48 429
a 48 45 429
a 45 50 796
a 50 45 796
a 45 69 240
a 69 45 240
a 45 84 415
a 84 45 415
a 45 96 319
a 96 45 319
a 47 62 178
a 62 47 178
a 47 67 342
a 67 47 342
a 47 74 369
a 74 47 369
a 47 82 521
a 82 47 521
a 47 89 841
a 89 47 841
a 47 92 420
a 92 47 420
a 47 93 743
a 93 47 743
a 48 70 607
a 70 48 607
a 48 93 210
a 93 48 210
a 48 97 552
a 97 48 552
a 48 100 220
a 100 48 220
a 49 57 894
a 57 49 894
a 49 70 607
a 70 49 607
a 49 75 978
a 75 49 978
a 49 84 957
a 84 49 957
a 49 85 935
a 85 49 935
a 49 95 326
a 95 49 326
a 50 54 485
a 54 50 485
a 50 59 586
a 59 50 586
a 50 66 326
a 66 50 326
a 50 73 795
a 73 50 795
a 50 75 368
a 75 50 368
a 50 85 420
a 85 50 420
a 51 53 716
a 53 51 716
a 51 56 365
a 56 51 365
a 51 60 427
a 60 51 427
a 51 73 370
a 73 51 370
a 51 74 253
a 74 51 253
a 51 79 819
a 79 51 819
a 51 84 864
a 84 51 864
a 52 63 378
a 63 52 378
a 52 78 619
a 78 52 619
a 52 94 771
a 94 52 771
a 53 58 549
a 58 53 549
a 53 60 782
a 60 53 782
a 53 61 474
a 61 53 474
a 53 67 438
a 67 53 438
a 53 76 770
a 76 53 770
a 53 90 882
a 90 53 882
a 53 93 231
a 93 53 231
a 54 63 211
a 63 54 211
a 54 66 183
a 66 54 183
a 54 76 775
a 76 54 775
a 54 78 991
a 78 54 991
a 55 74 813
a 74 55 813
a 55 75 146
a 75 55 146
a 55 76 671
a 76 55 671
a 55 81 339
a 81 55 339
a 55 92 932
a 92 55 932
a 56 71 961
a 71 56 961
a 56 76 726
a 76 56 726
a 56 78 606
a 78 56 606
a 56 85 843
a 85 56 843
a 56 99 133
a 99 56 133
a 57 58 207
a 58 57 207
a 57 80 645
a 80 57 645
a 57 98 729
a 98 57 729
a 58 62 947
a 62 58 947
a 58 72 539
a 72 58 539
a 58 83 592
a 83 58 592
a 59 63 871
a 63 59 871
a 59 65 402
a 65 59 402
a 59 91 897
a 91 59 897
a 59 96 516
a 96 59 516
a 60 68 979
a 68 60 979
a 60 85 109
a 85 60 109
a 60 100 921
a 100 60 921
a 61 72 994
a 72 61 994
a 61 77 917
a 77 61 917
a 61 88 488
a 88 61 488
a 61 100 702
a 100 61 702
a 62 75 855
a 75 62 855
a 62 100 720
a 100 62 720
a 63 74 805
a 74 63 805
a 63 78 326
a 78 63 326
a 63 80 308
a 80 63 308
a 63 86 389
a 86 63 389
a 63 96 840
a 96 63 840
a 63 99 997
a 99 63 997
a 64 75 963
a 75 64 963
a 64 87 438
a 87 64 438
a 65 75 651
a 75 65 651
a 65 77 583
a 77 65 583
a 65 85 112
a 85 65 112
a 66 67 461
a 67 66 461
a 66 72 443
a 72 66 443
a 66 73 712
a 73 66 712
a 66 80 425
a 80 66 425
a 66 82 917
a 82 66 917
a 66 88 517
a 88 66 517
a 66 92 764
a 92 66 764
a 66 95 822
a 95 66 822
a 66 100 614
a 100 66 614
a 67 71 327
a 71 67 327
a 67 78 550
a 78 67 550
a 67 86 795
a 86 67 795
a 67 96 440
a 96 67 440
a 67 97 126
a 97 67 126
a 67 98 295
a 98 67 295
a 68 69 928
a 69 68 928
a 68 71 660
a 71 68 660
a 68 77 496
a 77 68 496
a 69 70 672
a 70 69 672
a 69 71 174
a 71 69 174
a 70 78 408
a 78 70 408
a 70 84 551
a 84 70 551
a 71 73 176
a 73 71 176
a 71 79 449
a 79 71 449
a 72 90 649
a 90 72 649
a 72 94 771
a 94 72 771
a 73 77 930
a 77 73 930
a 73 78 236
a 78 73 236
a 73 80 473
a 80 73 473
a 73 84 612
a 84 73 612
a 73 98 988
a 98 73 988
a 73 100 299
a 100 73 299
a 74 77 402
a 77 74 402
a 74 81 409
a 81 74 409
a 74 93 437
a 93 74 437
a 75 80 465
a 80 75 465
a 75 82 285
a 82 75 285
a 75 85 145
a 85 75 145
a 75 86 712
a 86 75 712
a 76 81 735
a 81 76 735
a 76 87 601
a 87 76 601
a 76 100 604
a 100 76 604
a 77 79 529
a 79 77 529
a 77 84 191
a 84 77 191
a 77 87 783
a 87 77 783
a 77 96 779
a 96 77 779
a 77 97 446
a 97 77 446
a 77 99 507
a 99 77 507
a 78 81 440
a 81 78 440
a 78 84 362
a 84 78 362
a 78 86 795
a 86 78 795
a 79 95 482
a 95 79 482
a 80 87 568
a 87 80 568
a 80 89 446
a 89 80 446
a 81 86 475
a 86 81 475
a 82 86 559
a 86 82 559
a 83 96 652
a 96 83 652
a 85 97 873
a 97 85 873
a 87 95 306
a 95 87 306
a 88 90 904
a 90 88 904
a 88 98 740
a 98 88 740
a 89 91 119
a 91 89 119
a 89 100 558
a 100 89 558
a 90 93 489
a 93 90 489
a 93 94 406
a 94 93 406
a 93 98 308
a 98 93 308
a 93 100 345
a 100 93 345
a 94 96 466
a 96 94 466
a 95 98 288
a 98 95 288
a 95 100 687
a 100 95 687
a 96 99 565
a 99 96 565
a 99 100 754
a 100 99 754
